mission_id,data,local,inicio,fim,timestamp,lat,lon,ph,oxigenio_dissolvido,temperatura,turbidez,salinidade,mono_p,multi_p,camera_r,camera_v
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:05:00,-22.930933,-43.103278,7.34,4.99,24.8,7.5,28.2,35,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:07:30,-22.931200,-43.103214,7.95,5.85,25.1,8.7,28.7,27,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:10:00,-22.931467,-43.103151,7.51,5.76,23.5,5.7,28.9,32,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:12:30,-22.931733,-43.103087,7.46,6.19,22.9,7.1,29.1,39,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:15:00,-22.932000,-43.103024,7.42,5.19,22.6,10.6,29.3,38,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:17:30,-22.932267,-43.102960,7.56,5.84,23.0,5.1,28.7,35,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:20:00,-22.932533,-43.102897,7.32,5.96,25.3,8.6,29.4,22,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:22:30,-22.932800,-43.102832,7.19,5.19,22.8,11.8,29.5,18,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:25:00,-22.933067,-43.102768,7.23,4.87,22.6,5.7,28.6,23,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:27:30,-22.933333,-43.102703,7.77,4.79,22.8,6.5,28.1,27,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:30:00,-22.933600,-43.102639,7.60,5.74,23.9,4.3,29.2,27,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:32:30,-22.933867,-43.102570,8.09,5.37,24.3,9.7,28.8,22,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:35:00,-22.934133,-43.102502,7.82,5.75,23.8,5.8,29.3,18,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:37:30,-22.934400,-43.102434,7.94,5.88,24.5,5.3,28.8,29,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:40:00,-22.934667,-43.102365,7.62,5.79,25.5,11.1,28.7,15,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:42:30,-22.934933,-43.102297,8.09,4.79,23.0,5.0,29.4,21,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:45:00,-22.935200,-43.102229,7.12,5.63,24.2,9.5,29.0,35,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:47:30,-22.935467,-43.102161,7.49,6.31,22.8,9.2,28.8,39,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:50:00,-22.935733,-43.102092,7.77,5.05,23.5,3.6,28.2,28,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:52:30,-22.936000,-43.102024,7.13,5.15,23.6,11.6,29.9,40,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:55:00,-22.936267,-43.101956,7.25,4.83,25.1,10.3,29.3,30,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 07:57:30,-22.936533,-43.101888,7.98,4.86,24.7,10.5,29.6,28,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:00:00,-22.936800,-43.101819,7.91,5.77,25.1,7.2,29.6,22,2,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:02:30,-22.937067,-43.101751,7.82,6.37,24.7,7.3,29.6,40,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:05:00,-22.937333,-43.101683,7.29,5.14,23.9,6.9,29.3,36,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:07:30,-22.937600,-43.101614,8.11,6.14,22.2,10.5,29.8,40,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:10:00,-22.937867,-43.101546,7.76,4.63,22.0,11.6,29.3,23,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:12:30,-22.938133,-43.101478,7.69,6.14,22.7,7.1,29.6,21,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:15:00,-22.938400,-43.101410,7.73,5.84,25.9,3.8,29.8,32,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:17:30,-22.938667,-43.101341,7.59,4.98,22.3,10.6,29.3,18,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:20:00,-22.938933,-43.101273,7.32,5.02,22.6,7.4,28.1,29,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:22:30,-22.939200,-43.101205,7.30,4.90,24.4,9.6,28.3,25,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:25:00,-22.939467,-43.101137,7.80,6.11,23.5,6.8,29.9,17,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:27:30,-22.939733,-43.101068,7.76,4.65,24.4,9.1,29.9,25,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:30:00,-22.940000,-43.101000,7.58,6.22,22.1,9.5,29.3,25,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:32:30,-22.940267,-43.100799,7.41,6.00,24.2,11.2,28.6,25,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:35:00,-22.940533,-43.100598,7.66,6.09,23.2,10.4,28.8,31,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:37:30,-22.940800,-43.100398,8.17,5.78,25.2,6.0,28.6,24,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:40:00,-22.941067,-43.100197,7.94,4.67,24.9,11.0,29.1,16,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:42:30,-22.941333,-43.099996,7.13,4.68,25.3,7.3,29.5,16,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:45:00,-22.941600,-43.099795,7.74,5.73,24.8,8.4,29.4,21,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:47:30,-22.941867,-43.099594,7.75,4.91,24.7,10.8,28.8,18,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:50:00,-22.942133,-43.099394,8.05,4.85,23.2,9.4,29.7,20,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:52:30,-22.942400,-43.099193,7.38,5.38,24.6,11.4,28.1,33,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:55:00,-22.942667,-43.098992,7.99,5.99,23.7,9.3,28.8,17,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 08:57:30,-22.942933,-43.098791,7.71,6.39,24.6,4.4,29.5,32,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:00:00,-22.943200,-43.098590,7.77,4.98,22.6,3.1,28.0,36,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:02:30,-22.943467,-43.098390,7.26,4.82,23.9,5.5,29.1,29,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:05:00,-22.943733,-43.098189,7.44,5.95,24.8,4.3,29.5,24,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:07:30,-22.944000,-43.097988,7.55,6.28,23.0,11.7,29.4,15,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:10:00,-22.944267,-43.097787,8.06,5.84,24.5,6.5,28.6,34,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:12:30,-22.944533,-43.097586,7.73,5.17,25.8,9.5,28.9,20,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:15:00,-22.944800,-43.097386,7.44,5.76,24.5,6.8,28.8,40,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:17:30,-22.945067,-43.097185,7.94,5.62,23.2,3.5,29.9,37,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:20:00,-22.945333,-43.096984,8.04,5.91,22.1,4.4,29.7,33,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:22:30,-22.945600,-43.096783,7.45,5.83,24.4,11.1,29.6,24,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:25:00,-22.945867,-43.096582,7.32,5.36,24.3,10.3,29.8,16,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:27:30,-22.946133,-43.096382,7.97,6.16,24.3,5.5,29.7,40,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:30:00,-22.946400,-43.096181,7.42,4.75,24.2,10.2,28.4,39,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:32:30,-22.946400,-43.090681,7.73,5.82,23.9,4.9,28.5,39,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:35:00,-22.946400,-43.085181,7.55,4.76,25.2,9.9,28.5,33,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:37:30,-22.946400,-43.079681,8.06,5.54,23.9,8.3,28.4,21,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:40:00,-22.946400,-43.074181,7.97,5.12,24.3,6.2,29.6,19,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:42:30,-22.946133,-43.074382,8.11,5.49,25.5,6.3,28.9,17,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:45:00,-22.945867,-43.074582,7.72,5.22,24.1,3.2,28.1,33,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:47:30,-22.945600,-43.074783,7.31,6.00,23.7,11.5,29.5,34,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:50:00,-22.945333,-43.074984,8.01,5.21,26.0,6.4,28.1,16,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:52:30,-22.945067,-43.075185,8.04,5.42,25.8,11.2,28.1,34,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:55:00,-22.944800,-43.075386,7.85,4.76,23.3,5.1,28.2,36,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 09:57:30,-22.944533,-43.075586,7.22,6.13,23.5,5.1,29.4,20,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:00:00,-22.944267,-43.075787,8.13,4.71,24.2,3.3,29.8,23,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:02:30,-22.944000,-43.075988,7.07,4.86,25.0,11.5,29.4,24,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:05:00,-22.943733,-43.076189,7.91,4.79,23.3,5.3,28.2,30,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:07:30,-22.943467,-43.076390,7.53,6.05,25.7,11.0,28.9,21,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:10:00,-22.943200,-43.076590,8.11,5.00,25.7,10.8,29.8,19,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:12:30,-22.942933,-43.076791,8.11,5.29,22.1,3.7,29.9,25,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:15:00,-22.942667,-43.076992,7.14,5.26,23.3,9.6,28.4,29,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:17:30,-22.942400,-43.077193,7.53,4.87,23.7,5.2,28.1,33,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:20:00,-22.942133,-43.077394,7.96,5.07,22.4,7.1,29.0,19,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:22:30,-22.941867,-43.077594,7.76,6.02,25.7,8.0,29.7,18,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:25:00,-22.941600,-43.077795,8.16,5.38,23.0,5.1,28.5,27,2,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:27:30,-22.941333,-43.077996,8.08,4.70,24.9,5.6,30.0,15,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:30:00,-22.941067,-43.078197,7.61,5.40,25.2,11.5,28.6,26,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:32:30,-22.940800,-43.078398,8.09,4.99,24.3,4.2,28.4,39,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:35:00,-22.940533,-43.078598,7.24,4.74,22.3,8.5,29.0,23,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:37:30,-22.940267,-43.078799,7.16,5.81,24.5,4.7,28.6,15,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:40:00,-22.940000,-43.079000,8.01,6.25,24.1,6.1,28.6,35,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:42:30,-22.939733,-43.079068,7.02,6.24,23.9,10.8,28.5,20,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:45:00,-22.939467,-43.079137,7.04,5.86,24.3,10.7,28.7,29,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:47:30,-22.939200,-43.079205,7.14,5.89,25.3,10.8,28.6,37,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:50:00,-22.938933,-43.079273,7.35,4.79,24.9,7.0,28.1,40,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:52:30,-22.938667,-43.079341,7.02,6.34,22.9,4.6,28.2,23,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:55:00,-22.938400,-43.079410,7.02,6.27,25.0,5.4,29.7,35,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 10:57:30,-22.938133,-43.079478,7.63,5.86,22.4,10.8,29.4,16,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:00:00,-22.937867,-43.079546,7.56,5.65,25.0,4.0,28.2,19,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:02:30,-22.937600,-43.079614,8.03,4.86,24.3,9.7,28.3,15,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:05:00,-22.937333,-43.079683,7.72,5.69,22.1,11.7,28.1,26,2,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:07:30,-22.937067,-43.079751,7.29,5.20,23.7,11.8,29.6,25,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:10:00,-22.936800,-43.079819,7.39,4.86,24.7,6.2,29.7,36,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:12:30,-22.936533,-43.079888,7.13,4.94,23.3,4.8,29.3,22,,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:15:00,-22.936267,-43.079956,8.16,6.00,25.7,8.7,29.6,16,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:17:30,-22.936000,-43.080024,8.10,5.72,24.5,10.3,28.1,18,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:20:00,-22.935733,-43.080092,7.62,5.38,25.8,5.6,28.6,35,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:22:30,-22.935467,-43.080161,7.07,6.33,25.7,11.1,28.2,33,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:25:00,-22.935200,-43.080229,7.53,5.52,25.5,11.2,29.2,23,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:27:30,-22.934933,-43.080297,7.89,5.12,23.8,9.3,28.4,27,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:30:00,-22.934667,-43.080365,7.55,5.59,24.5,7.2,28.6,22,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:32:30,-22.934400,-43.080434,7.23,5.58,25.9,6.6,29.8,20,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:35:00,-22.934133,-43.080502,7.67,5.48,23.1,11.9,28.6,39,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:37:30,-22.933867,-43.080570,7.66,5.69,23.4,8.9,29.0,29,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:40:00,-22.933600,-43.080639,7.63,6.38,24.7,11.4,28.8,36,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:42:30,-22.933333,-43.080703,7.81,5.71,25.4,10.4,29.0,38,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:45:00,-22.933067,-43.080768,7.94,5.88,25.7,4.1,29.7,15,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:47:30,-22.932800,-43.080832,7.60,6.33,24.3,6.8,29.6,34,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:50:00,-22.932533,-43.080897,7.46,5.41,23.8,9.5,28.6,27,7,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:52:30,-22.932267,-43.080960,7.78,4.61,25.0,11.9,28.8,24,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:55:00,-22.932000,-43.081024,7.96,5.38,23.5,5.1,29.6,25,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 11:57:30,-22.931733,-43.081087,8.15,4.97,23.7,11.2,28.0,16,2,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:00:00,-22.931467,-43.081151,7.36,5.57,23.2,8.6,28.9,31,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:02:30,-22.931200,-43.081214,7.56,4.67,24.7,7.1,28.0,17,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:05:00,-22.930933,-43.081278,7.12,5.27,23.6,8.1,29.1,21,5,ALERTA,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:07:30,-22.930667,-43.081341,7.48,5.98,25.6,8.3,29.4,38,,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:10:00,-22.930400,-43.081405,7.44,5.26,22.3,5.8,28.4,35,2,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:12:30,-22.930133,-43.081468,7.98,6.38,25.6,6.8,28.3,24,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:15:00,-22.929867,-43.081532,7.61,4.94,22.7,8.7,29.2,26,7,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:17:30,-22.929600,-43.081595,7.83,4.62,22.0,9.4,29.1,24,5,,OK
OP-20260518,2026-05-18,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-18 12:20:00,-22.929333,-43.081659,7.70,5.80,22.8,7.5,29.1,23,7,,OK
